instant,dteday,season,year,month,hours,holiday,one_of_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,category_days,humidity_category
3389,2011-05-26,2,0,5,2,0,4,1,0.62,0.5758,0.83,0.1045,7,7,14,weekdays,Terlalu kering
3390,2011-05-26,2,0,5,3,0,4,1,0.6,0.5455,0.88,0.0896,0,4,4,weekdays,Terlalu kering
3391,2011-05-26,2,0,5,4,0,4,1,0.6,0.5455,0.88,0.0,0,2,2,weekdays,Terlalu kering
3392,2011-05-26,2,0,5,5,0,4,2,0.6,0.5455,0.88,0.0896,2,25,27,weekdays,Terlalu kering
3393,2011-05-26,2,0,5,6,0,4,2,0.6,0.5,1.0,0.0896,4,94,98,weekdays,Terlalu kering
3394,2011-05-26,2,0,5,7,0,4,2,0.62,0.5455,0.94,0.2537,16,270,286,weekdays,Terlalu kering
3395,2011-05-26,2,0,5,8,0,4,2,0.66,0.6061,0.83,0.1642,31,458,489,weekdays,Terlalu kering
3396,2011-05-26,2,0,5,9,0,4,1,0.72,0.6818,0.7,0.1642,22,194,216,weekdays,Terlalu kering
3397,2011-05-26,2,0,5,10,0,4,1,0.7,0.6667,0.74,0.2836,49,94,143,weekdays,Terlalu kering
3398,2011-05-26,2,0,5,11,0,4,1,0.74,0.697,0.66,0.2239,36,124,160,weekdays,Terlalu kering
3399,2011-05-26,2,0,5,12,0,4,1,0.78,0.7424,0.59,0.3284,53,141,194,weekdays,Terlalu kering
3400,2011-05-26,2,0,5,13,0,4,1,0.82,0.7727,0.52,0.2836,52,145,197,weekdays,Terlalu kering
3401,2011-05-26,2,0,5,14,0,4,1,0.82,0.7727,0.52,0.2836,44,145,189,weekdays,Terlalu kering
3402,2011-05-26,2,0,5,15,0,4,2,0.82,0.7576,0.46,0.2836,40,101,141,weekdays,Terlalu kering
3403,2011-05-26,2,0,5,16,0,4,2,0.8,0.7424,0.49,0.3582,58,233,291,weekdays,Terlalu kering
3404,2011-05-26,2,0,5,17,0,4,1,0.8,0.7273,0.46,0.2836,49,445,494,weekdays,Terlalu kering
3405,2011-05-26,2,0,5,18,0,4,1,0.8,0.7273,0.46,0.3284,74,404,478,weekdays,Terlalu kering
3406,2011-05-26,2,0,5,19,0,4,1,0.78,0.697,0.46,0.3284,67,311,378,weekdays,Terlalu kering
3407,2011-05-26,2,0,5,20,0,4,1,0.72,0.6667,0.58,0.1642,55,267,322,weekdays,Terlalu kering
3408,2011-05-26,2,0,5,21,0,4,1,0.72,0.6818,0.62,0.0896,45,178,223,weekdays,Terlalu kering
3409,2011-05-26,2,0,5,22,0,4,1,0.7,0.6515,0.65,0.1343,23,157,180,weekdays,Terlalu kering
3410,2011-05-26,2,0,5,23,0,4,1,0.7,0.6515,0.65,0.194,17,73,90,weekdays,Terlalu kering
3411,2011-05-27,2,0,5,0,0,5,1,0.68,0.6364,0.69,0.2537,14,55,69,weekdays,Terlalu kering
3412,2011-05-27,2,0,5,1,0,5,1,0.7,0.6515,0.58,0.2985,14,36,50,weekdays,Terlalu kering
3413,2011-05-27,2,0,5,2,0,5,1,0.68,0.6364,0.61,0.2239,6,12,18,weekdays,Terlalu kering
3414,2011-05-27,2,0,5,3,0,5,1,0.66,0.6212,0.65,0.0896,1,11,12,weekdays,Terlalu kering
3415,2011-05-27,2,0,5,4,0,5,1,0.64,0.6061,0.69,0.1343,2,5,7,weekdays,Terlalu kering
3416,2011-05-27,2,0,5,5,0,5,1,0.64,0.6061,0.65,0.2836,2,29,31,weekdays,Terlalu kering
3417,2011-05-27,2,0,5,6,0,5,1,0.64,0.6061,0.69,0.0896,8,73,81,weekdays,Terlalu kering
3418,2011-05-27,2,0,5,7,0,5,1,0.64,0.6061,0.73,0.1642,20,229,249,weekdays,Terlalu kering
3419,2011-05-27,2,0,5,8,0,5,1,0.66,0.6212,0.74,0.2836,25,393,418,weekdays,Terlalu kering
3420,2011-05-27,2,0,5,9,0,5,1,0.7,0.6515,0.65,0.2836,37,190,227,weekdays,Terlalu kering
3421,2011-05-27,2,0,5,10,0,5,1,0.72,0.6667,0.54,0.3881,42,111,153,weekdays,Terlalu kering
3422,2011-05-27,2,0,5,11,0,5,2,0.74,0.6818,0.55,0.3284,40,126,166,weekdays,Terlalu kering
3423,2011-05-27,2,0,5,12,0,5,2,0.76,0.697,0.55,0.2985,53,190,243,weekdays,Terlalu kering
3424,2011-05-27,2,0,5,13,0,5,1,0.74,0.6818,0.58,0.194,51,158,209,weekdays,Terlalu kering
3425,2011-05-27,2,0,5,14,0,5,1,0.76,0.697,0.55,0.2537,51,188,239,weekdays,Terlalu kering
3426,2011-05-27,2,0,5,15,0,5,1,0.78,0.7121,0.49,0.2836,98,258,356,weekdays,Terlalu kering
3427,2011-05-27,2,0,5,16,0,5,2,0.76,0.697,0.55,0.3881,63,356,419,weekdays,Terlalu kering
3428,2011-05-27,2,0,5,17,0,5,1,0.74,0.6818,0.58,0.3881,77,414,491,weekdays,Terlalu kering
3429,2011-05-27,2,0,5,18,0,5,2,0.72,0.6818,0.62,0.2985,89,310,399,weekdays,Terlalu kering
3430,2011-05-27,2,0,5,19,0,5,3,0.6,0.5758,0.78,0.2537,69,210,279,weekdays,Terlalu kering
3431,2011-05-27,2,0,5,20,0,5,2,0.62,0.5909,0.73,0.2239,24,120,144,weekdays,Terlalu kering
3432,2011-05-27,2,0,5,21,0,5,1,0.6,0.5606,0.83,0.1045,37,114,151,weekdays,Terlalu kering
3433,2011-05-27,2,0,5,22,0,5,1,0.6,0.5758,0.78,0.1343,25,116,141,weekdays,Terlalu kering
3434,2011-05-27,2,0,5,23,0,5,1,0.58,0.5455,0.88,0.1343,23,104,127,weekdays,Terlalu kering
3435,2011-05-28,2,0,5,0,0,6,1,0.58,0.5455,0.88,0.1343,15,79,94,weekdays,Terlalu kering
3436,2011-05-28,2,0,5,1,0,6,1,0.58,0.5455,0.88,0.194,8,47,55,weekdays,Terlalu kering
3437,2011-05-28,2,0,5,2,0,6,1,0.56,0.5303,0.94,0.194,13,35,48,weekdays,Terlalu kering
3438,2011-05-28,2,0,5,3,0,6,1,0.56,0.5303,0.88,0.2239,2,13,15,weekdays,Terlalu kering
3439,2011-05-28,2,0,5,4,0,6,1,0.56,0.5303,0.88,0.2537,0,4,4,weekdays,Terlalu kering
3440,2011-05-28,2,0,5,5,0,6,1,0.56,0.5303,0.88,0.2239,4,3,7,weekdays,Terlalu kering
3441,2011-05-28,2,0,5,6,0,6,1,0.58,0.5455,0.83,0.2537,3,16,19,weekdays,Terlalu kering
3442,2011-05-28,2,0,5,7,0,6,1,0.6,0.5606,0.83,0.2537,17,33,50,weekdays,Terlalu kering
3443,2011-05-28,2,0,5,8,0,6,1,0.62,0.5909,0.78,0.194,27,75,102,weekdays,Terlalu kering
3444,2011-05-28,2,0,5,9,0,6,1,0.64,0.6061,0.73,0.2537,61,116,177,weekdays,Terlalu kering
3445,2011-05-28,2,0,5,10,0,6,1,0.7,0.6515,0.65,0.2239,110,166,276,weekdays,Terlalu kering
3446,2011-05-28,2,0,5,11,0,6,1,0.7,0.6515,0.65,0.2239,171,178,349,weekdays,Terlalu kering
3447,2011-05-28,2,0,5,12,0,6,1,0.72,0.6667,0.58,0.2537,145,213,358,weekdays,Terlalu kering
3448,2011-05-28,2,0,5,13,0,6,1,0.72,0.6818,0.62,0.2239,168,217,385,weekdays,Terlalu kering
3449,2011-05-28,2,0,5,14,0,6,1,0.74,0.6818,0.58,0.2239,172,210,382,weekdays,Terlalu kering
3450,2011-05-28,2,0,5,15,0,6,1,0.74,0.6818,0.55,0.2239,187,187,374,weekdays,Terlalu kering
3451,2011-05-28,2,0,5,16,0,6,1,0.76,0.697,0.55,0.2836,201,201,402,weekdays,Terlalu kering
3452,2011-05-28,2,0,5,17,0,6,1,0.74,0.6818,0.55,0.2985,180,161,341,weekdays,Terlalu kering
3453,2011-05-28,2,0,5,18,0,6,1,0.72,0.6818,0.62,0.2537,173,212,385,weekdays,Terlalu kering
3454,2011-05-28,2,0,5,19,0,6,1,0.7,0.6515,0.65,0.194,99,153,252,weekdays,Terlalu kering
3455,2011-05-28,2,0,5,20,0,6,1,0.7,0.6515,0.65,0.2239,68,128,196,weekdays,Terlalu kering
3456,2011-05-28,2,0,5,21,0,6,1,0.66,0.6212,0.74,0.2985,87,114,201,weekdays,Terlalu kering
3457,2011-05-28,2,0,5,22,0,6,1,0.66,0.6061,0.78,0.2239,46,115,161,weekdays,Terlalu kering
3458,2011-05-28,2,0,5,23,0,6,1,0.64,0.5758,0.83,0.194,44,81,125,weekdays,Terlalu kering
3459,2011-05-29,2,0,5,0,0,0,1,0.64,0.5758,0.83,0.2239,32,51,83,weekdays,Terlalu kering
3460,2011-05-29,2,0,5,1,0,0,1,0.62,0.5606,0.88,0.1642,17,49,66,weekdays,Terlalu kering
3461,2011-05-29,2,0,5,2,0,0,1,0.62,0.5606,0.88,0.1045,12,49,61,weekdays,Terlalu kering
3462,2011-05-29,2,0,5,3,0,0,1,0.62,0.5606,0.88,0.1045,2,24,26,weekdays,Terlalu kering
3463,2011-05-29,2,0,5,4,0,0,1,0.6,0.5455,0.88,0.0896,13,10,23,weekdays,Terlalu kering
3464,2011-05-29,2,0,5,5,0,0,1,0.6,0.5152,0.94,0.1642,3,3,6,weekdays,Terlalu kering
3465,2011-05-29,2,0,5,6,0,0,2,0.62,0.5606,0.88,0.194,5,10,15,weekdays,Terlalu kering
3466,2011-05-29,2,0,5,7,0,0,2,0.62,0.5606,0.88,0.2537,13,17,30,weekdays,Terlalu kering
3467,2011-05-29,2,0,5,8,0,0,2,0.62,0.5606,0.88,0.2239,34,62,96,weekdays,Terlalu kering
3468,2011-05-29,2,0,5,9,0,0,2,0.62,0.5455,0.94,0.2537,74,78,152,weekdays,Terlalu kering
3469,2011-05-29,2,0,5,10,0,0,2,0.66,0.6061,0.83,0.2239,130,121,251,weekdays,Terlalu kering
3470,2011-05-29,2,0,5,11,0,0,2,0.66,0.6061,0.83,0.2836,139,180,319,weekdays,Terlalu kering
3471,2011-05-29,2,0,5,12,0,0,2,0.7,0.6667,0.74,0.2239,216,186,402,weekdays,Terlalu kering
3472,2011-05-29,2,0,5,13,0,0,1,0.72,0.6818,0.7,0.2836,237,181,418,weekdays,Terlalu kering
3473,2011-05-29,2,0,5,14,0,0,1,0.74,0.697,0.7,0.2836,183,168,351,weekdays,Terlalu kering
3474,2011-05-29,2,0,5,15,0,0,1,0.74,0.697,0.7,0.2985,221,155,376,weekdays,Terlalu kering
3475,2011-05-29,2,0,5,16,0,0,1,0.74,0.697,0.7,0.2836,194,167,361,weekdays,Terlalu kering
3476,2011-05-29,2,0,5,17,0,0,1,0.74,0.697,0.7,0.2836,214,169,383,weekdays,Terlalu kering
3477,2011-05-29,2,0,5,18,0,0,1,0.72,0.697,0.74,0.2836,151,177,328,weekdays,Terlalu kering
3478,2011-05-29,2,0,5,19,0,0,1,0.72,0.697,0.74,0.2537,141,146,287,weekdays,Terlalu kering
3479,2011-05-29,2,0,5,20,0,0,1,0.7,0.6667,0.79,0.194,91,128,219,weekdays,Terlalu kering
3480,2011-05-29,2,0,5,21,0,0,1,0.68,0.6364,0.83,0.1642,107,122,229,weekdays,Terlalu kering
3481,2011-05-29,2,0,5,22,0,0,1,0.66,0.5909,0.89,0.1343,78,93,171,weekdays,Terlalu kering
3482,2011-05-29,2,0,5,23,0,0,1,0.66,0.5909,0.89,0.1642,48,87,135,weekdays,Terlalu kering
3483,2011-05-30,2,0,5,0,1,1,1,0.64,0.5606,0.94,0.194,38,65,103,weekdays,Terlalu kering
3484,2011-05-30,2,0,5,1,1,1,1,0.64,0.5606,0.94,0.1343,26,53,79,weekdays,Terlalu kering
3485,2011-05-30,2,0,5,2,1,1,1,0.64,0.5606,0.94,0.194,17,28,45,weekdays,Terlalu kering
3486,2011-05-30,2,0,5,3,1,1,1,0.64,0.5606,0.94,0.194,10,8,18,weekdays,Terlalu kering
3487,2011-05-30,2,0,5,4,1,1,1,0.62,0.5455,0.94,0.1642,2,4,6,weekdays,Terlalu kering
3488,2011-05-30,2,0,5,5,1,1,2,0.62,0.5455,0.94,0.1045,1,6,7,weekdays,Terlalu kering
3489,2011-05-30,2,0,5,6,1,1,2,0.64,0.5606,0.94,0.0896,6,10,16,weekdays,Terlalu kering
3490,2011-05-30,2,0,5,7,1,1,2,0.64,0.5606,0.94,0.0,12,19,31,weekdays,Terlalu kering
3491,2011-05-30,2,0,5,8,1,1,2,0.66,0.5909,0.89,0.1045,36,58,94,weekdays,Terlalu kering
3492,2011-05-30,2,0,5,9,1,1,1,0.72,0.697,0.74,0.0896,47,81,128,weekdays,Terlalu kering
3493,2011-05-30,2,0,5,10,1,1,1,0.8,0.7576,0.55,0.2537,116,153,269,weekdays,Terlalu kering
3494,2011-05-30,2,0,5,11,1,1,1,0.82,0.7727,0.52,0.0,153,168,321,weekdays,Terlalu kering
3495,2011-05-30,2,0,5,12,1,1,1,0.86,0.803,0.47,0.1045,179,187,366,weekdays,Terlalu kering
3496,2011-05-30,2,0,5,13,1,1,1,0.86,0.7879,0.44,0.0896,133,217,350,weekdays,Terlalu kering
3497,2011-05-30,2,0,5,14,1,1,1,0.88,0.803,0.39,0.0,142,185,327,weekdays,Terlalu kering
3498,2011-05-30,2,0,5,15,1,1,1,0.88,0.803,0.39,0.2537,132,179,311,weekdays,Terlalu kering
3499,2011-05-30,2,0,5,16,1,1,1,0.88,0.7879,0.37,0.2836,101,208,309,weekdays,Terlalu kering
3500,2011-05-30,2,0,5,17,1,1,1,0.86,0.7879,0.41,0.2239,102,202,304,weekdays,Terlalu kering
3501,2011-05-30,2,0,5,18,1,1,1,0.86,0.7879,0.41,0.1642,77,172,249,weekdays,Terlalu kering
3502,2011-05-30,2,0,5,19,1,1,2,0.52,0.5,0.48,0.1045,68,157,225,weekdays,Terlalu kering
3503,2011-05-30,2,0,5,20,1,1,1,0.76,0.7121,0.58,0.0,69,168,237,weekdays,Terlalu kering
3504,2011-05-30,2,0,5,21,1,1,1,0.74,0.697,0.7,0.1343,42,107,149,weekdays,Terlalu kering
3505,2011-05-30,2,0,5,22,1,1,1,0.72,0.697,0.74,0.1642,26,80,106,weekdays,Terlalu kering
3506,2011-05-30,2,0,5,23,1,1,1,0.7,0.6667,0.84,0.1045,14,34,48,weekdays,Terlalu kering
3507,2011-05-31,2,0,5,0,0,2,1,0.7,0.6667,0.79,0.0896,9,20,29,weekdays,Terlalu kering
3508,2011-05-31,2,0,5,1,0,2,1,0.68,0.6364,0.89,0.0896,8,9,17,weekdays,Terlalu kering
3509,2011-05-31,2,0,5,2,0,2,2,0.66,0.5909,0.94,0.1343,5,7,12,weekdays,Terlalu kering
3510,2011-05-31,2,0,5,3,0,2,2,0.64,0.5606,0.94,0.0,1,3,4,weekdays,Terlalu kering
3511,2011-05-31,2,0,5,4,0,2,1,0.66,0.6061,0.83,0.0896,0,3,3,weekdays,Terlalu kering
3512,2011-05-31,2,0,5,5,0,2,1,0.66,0.6061,0.83,0.0896,0,26,26,weekdays,Terlalu kering
3513,2011-05-31,2,0,5,6,0,2,1,0.68,0.6364,0.79,0.0896,11,98,109,weekdays,Terlalu kering
3514,2011-05-31,2,0,5,7,0,2,1,0.74,0.697,0.66,0.1045,16,219,235,weekdays,Terlalu kering
3515,2011-05-31,2,0,5,8,0,2,1,0.78,0.7424,0.59,0.1343,34,372,406,weekdays,Terlalu kering
3516,2011-05-31,2,0,5,9,0,2,1,0.8,0.7576,0.55,0.1343,22,153,175,weekdays,Terlalu kering
3517,2011-05-31,2,0,5,10,0,2,1,0.82,0.7879,0.56,0.1343,37,72,109,weekdays,Terlalu kering
3518,2011-05-31,2,0,5,11,0,2,1,0.86,0.803,0.47,0.0,28,78,106,weekdays,Terlalu kering
3519,2011-05-31,2,0,5,12,0,2,1,0.86,0.803,0.47,0.1343,37,125,162,weekdays,Terlalu kering
3520,2011-05-31,2,0,5,13,0,2,1,0.9,0.8333,0.39,0.1642,37,110,147,weekdays,Terlalu kering
3521,2011-05-31,2,0,5,14,0,2,1,0.9,0.8182,0.37,0.0,41,99,140,weekdays,Terlalu kering
3522,2011-05-31,2,0,5,15,0,2,1,0.9,0.8182,0.37,0.1642,42,133,175,weekdays,Terlalu kering
3523,2011-05-31,2,0,5,16,0,2,1,0.9,0.8333,0.39,0.1343,44,205,249,weekdays,Terlalu kering
3524,2011-05-31,2,0,5,17,0,2,1,0.84,0.803,0.53,0.2239,67,428,495,weekdays,Terlalu kering
3525,2011-05-31,2,0,5,18,0,2,1,0.84,0.803,0.53,0.194,55,362,417,weekdays,Terlalu kering
3526,2011-05-31,2,0,5,19,0,2,1,0.78,0.7424,0.62,0.1045,39,246,285,weekdays,Terlalu kering
3527,2011-05-31,2,0,5,20,0,2,1,0.78,0.7424,0.62,0.1045,38,213,251,weekdays,Terlalu kering
3528,2011-05-31,2,0,5,21,0,2,1,0.76,0.7273,0.66,0.1045,45,165,210,weekdays,Terlalu kering
3529,2011-05-31,2,0,5,22,0,2,1,0.74,0.697,0.7,0.1642,42,117,159,weekdays,Terlalu kering
3530,2011-05-31,2,0,5,23,0,2,1,0.72,0.697,0.79,0.0896,15,46,61,weekdays,Terlalu kering
3531,2011-06-01,2,0,6,0,0,3,1,0.7,0.6667,0.79,0.1642,9,25,34,weekdays,Terlalu kering
3532,2011-06-01,2,0,6,1,0,3,1,0.7,0.6667,0.84,0.2537,8,9,17,weekdays,Terlalu kering
3533,2011-06-01,2,0,6,2,0,3,1,0.7,0.6667,0.79,0.1642,0,3,3,weekdays,Terlalu kering
3534,2011-06-01,2,0,6,3,0,3,1,0.68,0.6364,0.89,0.194,0,6,6,weekdays,Terlalu kering
3535,2011-06-01,2,0,6,4,0,3,2,0.68,0.6364,0.89,0.2239,0,4,4,weekdays,Terlalu kering
3536,2011-06-01,2,0,6,5,0,3,2,0.66,0.5909,0.89,0.0896,2,19,21,weekdays,Terlalu kering
3537,2011-06-01,2,0,6,6,0,3,2,0.68,0.6364,0.89,0.0896,7,121,128,weekdays,Terlalu kering
3538,2011-06-01,2,0,6,7,0,3,2,0.7,0.6667,0.79,0.1642,19,265,284,weekdays,Terlalu kering
3539,2011-06-01,2,0,6,8,0,3,2,0.72,0.697,0.79,0.194,37,417,454,weekdays,Terlalu kering
3540,2011-06-01,2,0,6,9,0,3,2,0.74,0.7121,0.74,0.2239,34,173,207,weekdays,Terlalu kering
3541,2011-06-01,2,0,6,10,0,3,2,0.76,0.7424,0.75,0.2537,31,84,115,weekdays,Terlalu kering
3542,2011-06-01,2,0,6,11,0,3,2,0.82,0.803,0.59,0.2239,26,86,112,weekdays,Terlalu kering
3543,2011-06-01,2,0,6,12,0,3,1,0.86,0.8333,0.53,0.0,32,137,169,weekdays,Terlalu kering
3544,2011-06-01,2,0,6,13,0,3,1,0.9,0.8182,0.37,0.194,29,125,154,weekdays,Terlalu kering
3545,2011-06-01,2,0,6,14,0,3,1,0.9,0.8182,0.37,0.2537,40,105,145,weekdays,Terlalu kering
3546,2011-06-01,2,0,6,15,0,3,1,0.9,0.8333,0.39,0.2985,25,127,152,weekdays,Terlalu kering
3547,2011-06-01,2,0,6,16,0,3,1,0.86,0.803,0.47,0.2985,39,227,266,weekdays,Terlalu kering
3548,2011-06-01,2,0,6,17,0,3,1,0.86,0.803,0.47,0.2985,52,434,486,weekdays,Terlalu kering
3549,2011-06-01,2,0,6,18,0,3,3,0.82,0.7879,0.56,0.3881,31,278,309,weekdays,Terlalu kering
3550,2011-06-01,2,0,6,19,0,3,2,0.74,0.7121,0.79,0.1642,16,248,264,weekdays,Terlalu kering
3551,2011-06-01,2,0,6,20,0,3,2,0.74,0.7121,0.79,0.2537,23,233,256,weekdays,Terlalu kering
3552,2011-06-01,2,0,6,21,0,3,1,0.74,0.697,0.7,0.2836,29,161,190,weekdays,Terlalu kering
3553,2011-06-01,2,0,6,22,0,3,1,0.74,0.697,0.66,0.1343,14,115,129,weekdays,Terlalu kering
3554,2011-06-01,2,0,6,23,0,3,1,0.74,0.6667,0.51,0.1642,10,59,69,weekdays,Terlalu kering
3555,2011-06-02,2,0,6,0,0,4,1,0.74,0.6515,0.4,0.3582,11,31,42,weekdays,Terlalu kering
3556,2011-06-02,2,0,6,1,0,4,1,0.72,0.6515,0.38,0.1045,3,12,15,weekdays,Terlalu kering
3557,2011-06-02,2,0,6,2,0,4,1,0.7,0.6364,0.39,0.0,0,6,6,weekdays,Terlalu kering
3558,2011-06-02,2,0,6,3,0,4,1,0.66,0.6212,0.44,0.1045,0,4,4,weekdays,Terlalu kering
3559,2011-06-02,2,0,6,4,0,4,1,0.66,0.6212,0.41,0.194,0,3,3,weekdays,Terlalu kering
3560,2011-06-02,2,0,6,5,0,4,1,0.66,0.6212,0.39,0.2239,3,28,31,weekdays,Terlalu kering
3561,2011-06-02,2,0,6,6,0,4,1,0.66,0.6212,0.39,0.1343,7,106,113,weekdays,Terlalu kering
3562,2011-06-02,2,0,6,7,0,4,1,0.7,0.6364,0.34,0.2537,19,285,304,weekdays,Terlalu kering
3563,2011-06-02,2,0,6,8,0,4,1,0.7,0.6364,0.32,0.2985,25,442,467,weekdays,Terlalu kering
3564,2011-06-02,2,0,6,9,0,4,1,0.72,0.6364,0.26,0.3582,28,197,225,weekdays,Terlalu kering
3565,2011-06-02,2,0,6,10,0,4,1,0.72,0.6515,0.28,0.4925,33,106,139,weekdays,Terlalu kering
3566,2011-06-02,2,0,6,11,0,4,1,0.74,0.6515,0.28,0.3881,42,123,165,weekdays,Terlalu kering
3567,2011-06-02,2,0,6,12,0,4,1,0.76,0.6667,0.25,0.4627,39,193,232,weekdays,Terlalu kering
3568,2011-06-02,2,0,6,13,0,4,1,0.8,0.6818,0.24,0.3582,35,168,203,weekdays,Terlalu kering
3569,2011-06-02,2,0,6,14,0,4,1,0.78,0.6667,0.24,0.3284,43,142,185,weekdays,Terlalu kering
3570,2011-06-02,2,0,6,15,0,4,1,0.8,0.6818,0.21,0.3881,44,144,188,weekdays,Terlalu kering
3571,2011-06-02,2,0,6,16,0,4,1,0.8,0.6818,0.22,0.4925,63,255,318,weekdays,Terlalu kering
3572,2011-06-02,2,0,6,17,0,4,1,0.76,0.6515,0.2,0.5224,88,484,572,weekdays,Terlalu kering
3573,2011-06-02,2,0,6,18,0,4,1,0.74,0.6515,0.22,0.3881,74,451,525,weekdays,Terlalu kering
3574,2011-06-02,2,0,6,19,0,4,1,0.72,0.6364,0.23,0.2985,58,321,379,weekdays,Terlalu kering
3575,2011-06-02,2,0,6,20,0,4,1,0.7,0.6364,0.24,0.194,51,286,337,weekdays,Terlalu kering
3576,2011-06-02,2,0,6,21,0,4,1,0.66,0.6212,0.31,0.194,33,215,248,weekdays,Terlalu kering
3577,2011-06-02,2,0,6,22,0,4,1,0.64,0.6212,0.33,0.2537,14,141,155,weekdays,Terlalu kering
3578,2011-06-02,2,0,6,23,0,4,1,0.62,0.6212,0.35,0.2239,23,89,112,weekdays,Terlalu kering
3579,2011-06-03,2,0,6,0,0,5,1,0.62,0.6212,0.38,0.2836,15,53,68,weekdays,Terlalu kering
3580,2011-06-03,2,0,6,1,0,5,1,0.6,0.6212,0.38,0.3582,7,15,22,weekdays,Terlalu kering
3581,2011-06-03,2,0,6,2,0,5,1,0.56,0.5303,0.43,0.2239,0,12,12,weekdays,Terlalu kering
3582,2011-06-03,2,0,6,3,0,5,1,0.54,0.5152,0.49,0.2239,0,5,5,weekdays,Terlalu kering
3583,2011-06-03,2,0,6,4,0,5,1,0.52,0.5,0.48,0.3284,1,5,6,weekdays,Terlalu kering
3584,2011-06-03,2,0,6,5,0,5,1,0.52,0.5,0.48,0.3582,4,24,28,weekdays,Terlalu kering
3585,2011-06-03,2,0,6,6,0,5,1,0.54,0.5152,0.45,0.2985,8,98,106,weekdays,Terlalu kering
3586,2011-06-03,2,0,6,7,0,5,1,0.54,0.5152,0.45,0.2537,25,252,277,weekdays,Terlalu kering
3587,2011-06-03,2,0,6,8,0,5,2,0.56,0.5303,0.43,0.3284,31,471,502,weekdays,Terlalu kering
3588,2011-06-03,2,0,6,9,0,5,1,0.58,0.5455,0.4,0.1642,36,194,230,weekdays,Terlalu kering
3589,2011-06-03,2,0,6,10,0,5,1,0.62,0.6212,0.33,0.2537,54,107,161,weekdays,Terlalu kering
3590,2011-06-03,2,0,6,11,0,5,1,0.64,0.6212,0.31,0.3284,57,135,192,weekdays,Terlalu kering
3591,2011-06-03,2,0,6,12,0,5,1,0.66,0.6212,0.27,0.2836,51,208,259,weekdays,Terlalu kering
3592,2011-06-03,2,0,6,13,0,5,1,0.68,0.6212,0.26,0.2537,58,190,248,weekdays,Terlalu kering
3593,2011-06-03,2,0,6,14,0,5,1,0.7,0.6364,0.28,0.2836,66,174,240,weekdays,Terlalu kering
3594,2011-06-03,2,0,6,15,0,5,1,0.7,0.6364,0.28,0.2836,56,156,212,weekdays,Terlalu kering
3595,2011-06-03,2,0,6,16,0,5,1,0.72,0.6364,0.26,0.3284,63,286,349,weekdays,Terlalu kering
3596,2011-06-03,2,0,6,17,0,5,1,0.72,0.6364,0.25,0.2836,73,485,558,weekdays,Terlalu kering
3597,2011-06-03,2,0,6,18,0,5,1,0.7,0.6364,0.24,0.2985,76,488,564,weekdays,Terlalu kering
3598,2011-06-03,2,0,6,19,0,5,1,0.68,0.6212,0.26,0.2836,53,338,391,weekdays,Terlalu kering
3599,2011-06-03,2,0,6,20,0,5,1,0.64,0.6212,0.29,0.1642,57,236,293,weekdays,Terlalu kering
3600,2011-06-03,2,0,6,21,0,5,1,0.64,0.6212,0.29,0.1045,51,196,247,weekdays,Terlalu kering
3601,2011-06-03,2,0,6,22,0,5,1,0.62,0.6212,0.35,0.0,26,145,171,weekdays,Terlalu kering
3602,2011-06-03,2,0,6,23,0,5,1,0.58,0.5455,0.46,0.1045,30,141,171,weekdays,Terlalu kering
3603,2011-06-04,2,0,6,0,0,6,1,0.56,0.5303,0.52,0.0,24,69,93,weekdays,Terlalu kering
3604,2011-06-04,2,0,6,1,0,6,1,0.54,0.5152,0.64,0.1045,14,80,94,weekdays,Terlalu kering
3605,2011-06-04,2,0,6,2,0,6,1,0.54,0.5152,0.56,0.194,18,41,59,weekdays,Terlalu kering
3606,2011-06-04,2,0,6,3,0,6,1,0.52,0.5,0.59,0.1045,8,10,18,weekdays,Terlalu kering
3607,2011-06-04,2,0,6,4,0,6,1,0.52,0.5,0.59,0.0896,4,11,15,weekdays,Terlalu kering
3608,2011-06-04,2,0,6,5,0,6,1,0.5,0.4848,0.64,0.0,3,5,8,weekdays,Terlalu kering
3609,2011-06-04,2,0,6,6,0,6,1,0.54,0.5152,0.6,0.0,11,17,28,weekdays,Terlalu kering
3610,2011-06-04,2,0,6,7,0,6,1,0.56,0.5303,0.56,0.0,27,60,87,weekdays,Terlalu kering
3611,2011-06-04,2,0,6,8,0,6,1,0.6,0.6212,0.46,0.0896,29,96,125,weekdays,Terlalu kering
3612,2011-06-04,2,0,6,9,0,6,1,0.62,0.6212,0.43,0.1343,55,169,224,weekdays,Terlalu kering
3613,2011-06-04,2,0,6,10,0,6,1,0.64,0.6212,0.38,0.1045,115,202,317,weekdays,Terlalu kering
3614,2011-06-04,2,0,6,11,0,6,1,0.66,0.6212,0.36,0.1343,120,249,369,weekdays,Terlalu kering
3615,2011-06-04,2,0,6,12,0,6,1,0.7,0.6364,0.32,0.1642,150,270,420,weekdays,Terlalu kering
3616,2011-06-04,2,0,6,13,0,6,1,0.74,0.6515,0.28,0.1343,188,268,456,weekdays,Terlalu kering
3617,2011-06-04,2,0,6,14,0,6,1,0.74,0.6515,0.33,0.2239,193,258,451,weekdays,Terlalu kering
